,Primer,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12
0,Primer 2,0.6145916795586294,0.9504653603026717,0.5841481021507169,0.0037888112367303562,0.41822675093853345,0.34159708832411634,0.38145084733005835,0.7163880297460907,0.6416002426346414,0.3909534023508932,0.2337168877247546,0.1272524314883474
1,Primer 3,0.9099482532507996,0.9806715130227497,0.927882824337418,0.2671460784842057,0.8999657032791664,0.6163115121641003,0.4203832013258463,0.458437991080368,0.6133478770368982,0.32767806626584595,0.612023070968821,0.5460695632363138
2,Primer 4,0.8774420150417794,0.9271474092100912,0.9463888981681307,0.012451303789497012,0.38721479841159123,0.463368353172959,0.3432148561401622,0.47082852863030983,0.8698097128907949,0.30865494047433,0.30347073552789244,0.22271459302451016
3,Primer 5,0.4873269917218452,0.4733284332023527,0.9712748139190235,0.0006495425639438313,0.09186884645257096,0.10387631815845229,0.28722530597513896,0.5509658493464286,0.00669300798638559,0.8411113374048308,0.43791491712004293,0.1782176757473795
4,Primer 6,0.5596974512876944,0.7129958256631141,0.7849940085794395,0.0015165723732259236,0.24915054315958177,0.2561671412208026,0.41418501403547875,0.6124062977058966,0.0011785630285807065,0.9919238384223508,0.5574197769091923,0.22043748324449794
5,Primer 7,0.5287946704757471,0.7772343978341952,0.6803541788027688,0.00215032989728857,0.5198433200807869,0.35690253624092755,0.8151885149458857,0.4401398513926921,9.168580839569363e-05,0.6863219581683554,0.4928025716796927,0.544178658442957
6,Primer 8,0.5656396101621735,0.601326082734092,0.9406537091994052,0.00022597087166245481,0.03732403001031471,0.029966438348226862,0.11101321309586491,0.14577610961042542,0.003023410443106964,0.22142084998522665,0.6691927740185256,0.051006013569663715
